person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
14178,9128,50,1,1,1,3,1,-1.0,33452.0,0,H,,0,0,0,0,0,0,0
14179,9128,60,2,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,1,0,0,17
12407,9127,80,1,2,3,2,5,23535.0,-1.0,0,N,,0,1,1,0,0,1,26
13297,9126,60,1,1,1,3,1,-1.0,11615.0,0,M,work1,0,0,0,0,0,0,0
12626,9125,60,1,1,1,3,1,-1.0,3634.0,0,M,work1,0,2,0,0,0,0,16
12627,9125,60,2,2,2,3,2,-1.0,24499.0,0,M,work1,0,0,0,1,0,0,1
13112,9124,70,1,2,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12447,9122,40,1,2,1,3,1,-1.0,21642.0,0,H,,0,0,0,0,0,0,0
12448,9122,14,2,1,3,1,7,6680.0,-1.0,0,M,school1,0,0,0,0,0,0,0
10109,9121,30,1,1,1,3,1,-1.0,8775.0,0,M,work1,0,0,0,0,0,0,0
10110,9121,30,2,1,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
10507,9120,30,1,2,1,3,1,-1.0,27260.0,0,N,,0,0,1,0,0,0,8
10508,9120,30,2,1,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,0,0
10509,9120,2,3,1,3,3,8,-1.0,-1.0,0,N,,0,0,0,0,0,0,0
10510,9120,2,4,1,3,3,8,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
14417,9119,30,1,2,1,3,1,-1.0,30989.0,0,H,,0,0,0,0,0,0,0
10769,9118,80,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
14018,9117,21,1,1,1,3,1,-1.0,9683.0,0,M,work1,0,0,0,0,0,0,0
12503,9116,40,1,2,2,3,2,-1.0,18082.0,0,M,work1,0,0,0,0,0,0,0
12504,9116,40,2,1,2,3,2,-1.0,11613.0,0,M,work1,0,0,0,0,0,0,0
10772,9115,50,1,9,2,3,2,-1.0,15452.0,0,H,,0,0,0,0,0,0,0
10647,9114,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,2,0,0,0,8
10648,9114,40,2,2,1,3,1,-1.0,17105.0,0,M,work1,0,0,0,0,0,0,0
13333,9113,40,1,1,1,3,1,-1.0,9034.0,0,H,,0,0,0,0,0,0,0
10160,9112,30,1,2,2,2,1,30981.0,30989.0,0,H,,0,0,0,0,0,0,0
10565,9111,60,1,1,1,3,1,-1.0,33096.0,0,N,,0,1,0,0,0,0,16
11708,9110,70,1,1,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,1,0,4
11709,9110,60,2,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,1,0,4
10442,9109,30,1,2,3,2,3,34792.0,-1.0,0,H,,0,0,0,0,0,0,0
10443,9109,30,2,1,1,3,1,-1.0,26814.0,0,H,,0,0,0,0,0,0,0
10444,9109,2,3,1,3,3,8,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13024,9108,30,1,1,2,3,2,-1.0,7687.0,0,H,,0,0,0,0,0,0,0
11366,9107,40,1,1,1,3,1,-1.0,21183.0,0,N,,2,0,0,0,0,0,64
11367,9107,40,2,2,1,3,1,-1.0,1471.0,0,M,work1,0,0,0,0,0,0,0
11368,9107,8,3,1,3,1,7,11070.0,-1.0,0,H,,0,0,0,0,0,0,0
11369,9107,2,4,1,3,1,8,16741.0,-1.0,0,H,,0,0,0,0,0,0,0
10657,9106,60,1,2,1,3,1,-1.0,2418.0,0,H,,0,0,0,0,0,0,0
14883,9105,50,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
13663,9104,30,1,2,1,3,1,-1.0,5362.0,0,M,work1,0,0,0,0,0,0,0
14867,9103,80,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
12078,9102,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,1,0,0,17
12117,9101,30,1,1,1,3,1,-1.0,12598.0,0,M,work1,0,0,0,1,0,0,1
12118,9101,30,2,2,1,3,1,-1.0,21009.0,0,H,,0,0,0,0,0,0,0
10241,9100,30,1,1,1,3,1,-1.0,16608.0,0,H,,0,0,0,0,0,0,0
10242,9100,30,2,2,3,2,3,34792.0,-1.0,0,N,,0,0,0,1,0,0,1
10805,9099,30,1,2,1,3,1,-1.0,34886.0,0,M,work1,0,0,0,1,0,0,1
10806,9099,30,2,1,1,3,1,-1.0,20401.0,0,M,work1,0,0,0,0,0,1,2
11029,9098,40,1,2,1,3,1,-1.0,30977.0,0,M,work1,1,0,0,0,0,0,32
11030,9098,40,2,1,1,3,1,-1.0,23087.0,0,M,work1,0,0,0,0,0,0,0
11031,9098,8,3,2,3,1,7,3450.0,-1.0,0,M,school1,0,0,0,0,0,0,0
11032,9098,2,4,2,3,1,8,27507.0,-1.0,0,M,school1,1,0,0,0,0,0,32
13265,9097,40,1,2,1,3,1,-1.0,12656.0,1,M,work1,0,0,0,1,1,0,5
13266,9097,40,2,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12872,9096,30,1,1,1,3,1,-1.0,25900.0,0,M,work1,0,1,0,0,0,0,16
14259,9095,60,1,2,1,3,1,-1.0,20798.0,0,M,work1,0,0,0,0,0,0,0
12558,9094,30,1,2,1,3,1,-1.0,9297.0,0,H,,0,0,0,0,0,0,0
13177,9093,30,1,2,1,3,1,-1.0,3193.0,0,H,,0,0,0,0,0,0,0
12596,9091,50,1,2,2,3,2,-1.0,32532.0,0,H,,0,0,0,0,0,0,0
14422,9090,30,1,2,1,3,1,-1.0,30989.0,0,H,,0,0,0,0,0,0,0
14423,9090,40,2,1,1,3,1,-1.0,30989.0,0,H,,0,0,0,0,0,0,0
12880,9089,30,1,1,1,3,1,-1.0,21615.0,0,H,,0,0,0,0,0,0,0
14266,9087,70,1,2,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
14267,9087,60,2,1,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12825,9086,40,1,2,1,3,1,-1.0,15410.0,0,M,work1,0,0,0,0,0,0,0
10883,9085,60,1,2,1,3,1,-1.0,3367.0,0,H,,0,0,0,0,0,0,0
14999,9084,30,1,2,1,3,1,-1.0,23351.0,1,M,work1,0,0,0,0,0,0,0
10717,9083,40,1,2,1,3,1,-1.0,12926.0,0,H,,0,0,0,0,0,0,0
10718,9083,30,2,1,2,3,2,-1.0,33099.0,0,H,,0,0,0,0,0,0,0
10719,9083,8,3,2,3,1,7,4385.0,-1.0,0,H,,0,0,0,0,0,0,0
13345,9082,40,1,9,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13346,9082,40,2,9,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13347,9082,8,3,9,3,1,7,32759.0,-1.0,0,H,,0,0,0,0,0,0,0
12541,9081,50,1,1,1,3,1,-1.0,12926.0,0,M,work1,0,0,0,0,0,0,0
13086,9080,30,1,1,1,3,1,-1.0,15448.0,0,H,,0,0,0,0,0,0,0
13087,9080,30,2,2,1,3,1,-1.0,31747.0,0,M,work1,0,0,0,0,0,0,0
13757,9079,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,1,0,4
11809,9078,30,1,1,1,3,1,-1.0,21300.0,0,M,work1,0,0,0,1,0,0,1
11810,9078,30,2,2,1,3,1,-1.0,13842.0,0,M,work1,0,0,0,1,0,0,1
14884,9077,60,1,1,3,3,4,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
11405,9076,40,1,1,1,3,1,-1.0,30572.0,0,H,,0,0,0,0,0,0,0
11406,9076,21,2,2,2,2,2,33049.0,19380.0,0,N,,0,0,0,1,1,0,5
13535,9075,40,1,1,1,3,1,-1.0,17735.0,0,H,,0,0,0,0,0,0,0
13536,9075,40,2,2,3,2,3,23351.0,-1.0,0,N,,2,0,0,0,0,0,64
13537,9075,2,3,1,3,1,8,22705.0,-1.0,0,N,,1,0,0,0,0,0,32
13538,9075,2,4,1,3,1,8,17897.0,-1.0,0,N,,1,0,0,0,0,1,34
10823,9074,21,1,1,2,2,3,12926.0,12926.0,0,M,school1,0,0,0,0,0,0,0
10824,9074,21,2,1,1,3,1,-1.0,34641.0,0,M,work1,0,1,0,0,0,0,16
10609,9073,30,1,1,1,3,1,-1.0,23530.0,0,M,work1,0,0,0,0,0,0,0
11191,9072,30,1,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13731,9071,30,1,1,1,3,1,-1.0,11618.0,0,M,work1,0,0,0,2,0,0,1
10963,9070,50,1,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
11798,9069,40,1,1,1,3,1,-1.0,5159.0,0,M,work1,0,0,0,1,0,0,1
12551,9068,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,3,0,0,17
10272,9067,50,1,1,1,3,1,-1.0,32320.0,0,M,work1,0,0,0,0,0,0,0
10200,9066,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,2,0,1,0,1,19
10201,9066,70,2,1,1,3,1,-1.0,31907.0,0,M,work1,0,0,0,0,0,0,0
12800,9065,40,1,1,1,3,1,-1.0,9417.0,0,M,work1,0,0,0,0,0,0,0
12801,9065,40,2,2,1,3,1,-1.0,7995.0,0,H,,0,0,0,0,0,0,0
13115,9064,40,1,2,1,3,1,-1.0,18755.0,0,H,,0,0,0,0,0,0,0
13116,9064,30,2,1,1,3,1,-1.0,10538.0,0,M,work1,0,0,0,0,0,0,0
13117,9064,8,3,2,3,1,7,607.0,-1.0,0,M,school1,0,0,0,0,0,0,0
13271,9063,40,1,1,1,3,1,-1.0,35782.0,0,M,work1,0,1,0,0,0,0,16
13272,9063,40,2,2,1,3,1,-1.0,28340.0,0,M,work1,0,0,0,0,0,0,0
13517,9062,40,1,2,1,3,1,-1.0,21474.0,0,M,work1,0,0,0,0,0,0,0
13518,9062,8,2,2,3,1,7,29891.0,-1.0,0,M,school1,0,0,0,0,0,0,0
10536,9061,50,1,1,1,3,1,-1.0,3193.0,0,H,,0,0,0,0,0,0,0
10700,9060,60,1,1,2,3,2,-1.0,1758.0,0,N,,0,0,0,0,1,0,4
12348,9059,40,1,2,1,3,1,-1.0,9417.0,0,N,,1,0,0,0,0,0,32
12349,9059,8,2,2,3,1,7,5262.0,-1.0,0,N,,1,0,0,0,1,0,36
11525,9058,50,1,1,2,2,2,23087.0,35507.0,0,H,,0,0,0,0,0,0,0
11526,9058,50,2,2,2,3,2,-1.0,35507.0,0,H,,0,0,0,0,0,0,0
11527,9058,17,3,2,3,1,6,6499.0,-1.0,0,H,,0,0,0,0,0,0,0
11881,9057,30,1,2,1,3,1,-1.0,8078.0,0,M,work1,0,0,0,0,0,0,0
12037,9056,40,1,1,1,3,1,-1.0,2836.0,0,M,work1,0,0,0,0,0,0,0
10653,9055,50,1,1,1,3,1,-1.0,48346.0,0,N,,2,1,0,0,1,0,84
10654,9055,50,2,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
10655,9055,8,3,1,3,1,7,14019.0,-1.0,0,N,,2,1,0,0,0,0,80
10656,9055,14,4,2,3,1,7,25183.0,-1.0,0,N,,3,0,0,0,0,0,64
13293,9054,30,1,1,1,3,1,-1.0,59196.0,0,M,work1,1,0,0,0,0,0,32
13294,9054,14,2,2,3,1,7,56529.0,-1.0,0,N,,0,0,0,1,0,0,1
13292,9054,30,3,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13295,9054,2,4,2,3,3,8,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
13296,9054,2,5,1,3,3,8,-1.0,-1.0,0,N,,1,0,0,0,0,0,32
13665,9053,60,1,9,2,3,2,-1.0,12981.0,0,H,,0,0,0,0,0,0,0
13666,9053,50,2,2,2,3,2,-1.0,34080.0,0,N,,0,0,0,1,0,0,1
13708,9052,30,1,2,2,2,3,12926.0,3389.0,0,M,school1,0,0,0,0,0,0,0
13709,9052,30,2,1,1,3,1,-1.0,60912.0,0,M,work1,0,0,0,0,0,0,0
12157,9051,30,1,1,1,3,1,-1.0,3367.0,0,H,,0,0,0,0,0,0,0
12158,9051,30,2,1,1,3,1,-1.0,34341.0,0,N,,0,1,0,0,0,0,16
13103,9050,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
13104,9050,60,2,1,1,3,1,-1.0,29519.0,0,H,,0,0,0,0,0,0,0
10129,9049,30,1,1,1,3,1,-1.0,2878.0,0,H,,0,0,0,0,0,0,0
10130,9049,30,2,2,1,3,1,-1.0,21002.0,0,M,work1,0,0,0,0,0,0,0
12120,9048,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,1,0,0,1,10
12121,9048,70,2,1,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,1,0,4
12484,9047,30,1,2,1,3,1,-1.0,10061.0,0,N,,0,0,1,0,0,0,8
12485,9047,30,2,1,1,3,1,-1.0,58088.0,0,M,work1,0,0,0,0,0,0,0
11087,9046,40,1,1,1,3,1,-1.0,9417.0,0,H,,0,0,0,0,0,0,0
11088,9046,40,2,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
11089,9046,8,3,2,3,1,7,24402.0,-1.0,0,H,,0,0,0,0,0,0,0
13005,9045,40,1,2,1,3,1,-1.0,4075.0,0,M,work1,0,0,0,0,0,0,0
13006,9045,50,2,1,1,3,1,-1.0,21006.0,0,M,work1,0,0,0,0,0,0,0
13007,9045,8,3,1,3,1,7,15087.0,-1.0,0,M,school1,0,0,0,0,0,0,0
12307,9044,30,1,2,1,3,1,-1.0,31460.0,0,M,work1,0,0,0,0,0,0,0
12308,9044,2,2,2,3,1,8,5648.0,-1.0,0,M,school1,0,0,0,0,0,0,0
12309,9044,40,3,1,1,3,1,-1.0,12319.0,0,M,work1,0,0,0,0,0,0,0
11079,9043,50,1,1,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
11080,9043,60,2,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
13143,9042,40,1,1,1,3,1,-1.0,24997.0,0,M,work1,0,0,0,0,0,0,0
14390,9041,60,1,1,3,3,4,-1.0,-1.0,0,N,,0,0,2,1,0,0,9
12289,9040,60,1,1,1,3,1,-1.0,21191.0,0,M,work1,0,0,0,0,0,0,0
12290,9040,17,2,2,3,1,6,27986.0,-1.0,0,H,,0,0,0,0,0,0,0
11504,9039,40,1,2,1,3,1,-1.0,33333.0,0,H,,0,0,0,0,0,0,0
11505,9039,40,2,1,1,3,1,-1.0,23358.0,1,M,work1,0,0,0,0,0,0,0
10308,9038,30,1,1,1,3,1,-1.0,7037.0,1,M,work1,0,0,0,0,0,0,0
14514,9037,40,1,1,2,3,2,-1.0,17033.0,0,H,,0,0,0,0,0,0,0
13370,9036,40,1,2,2,3,2,-1.0,27986.0,0,N,,0,2,0,0,0,0,16
13371,9036,40,2,1,1,3,1,-1.0,16416.0,0,H,,0,0,0,0,0,0,0
13372,9036,2,3,1,3,1,8,8897.0,-1.0,0,N,,1,2,0,0,0,0,48
12223,9035,30,1,1,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
10580,9034,30,1,2,1,3,1,-1.0,2836.0,0,H,,0,0,0,0,0,0,0
10581,9034,30,2,1,2,2,3,15990.0,39851.0,0,H,,0,0,0,0,0,0,0
13773,9033,50,1,2,2,3,2,-1.0,56629.0,0,M,work2,0,0,0,0,0,1,2
13774,9033,50,2,1,1,3,1,-1.0,4579.0,0,M,work1,0,0,0,0,0,0,0
13775,9033,14,3,1,3,1,7,25313.0,-1.0,0,M,school1,0,0,0,1,0,0,1
13776,9033,14,4,2,3,1,7,22076.0,-1.0,0,M,school1,0,0,0,0,0,0,0
13973,9032,40,1,2,1,3,1,-1.0,32532.0,0,H,,0,0,0,0,0,0,0
12745,9031,70,1,2,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
14127,9030,50,1,1,1,3,1,-1.0,3894.0,0,M,work1,0,0,0,0,0,0,0
13463,9029,60,1,2,3,3,4,-1.0,-1.0,0,N,,1,0,0,0,0,0,32
13464,9029,50,2,1,1,3,1,-1.0,63610.0,0,M,work1,1,0,0,0,0,1,34
13465,9029,17,3,1,2,1,6,60724.0,55718.0,0,M,work1,0,0,0,0,0,0,0
13466,9029,14,4,1,3,1,7,60724.0,-1.0,0,N,,0,0,0,0,0,1,2
13467,9029,17,5,1,3,1,6,60724.0,-1.0,0,M,school1,0,0,1,0,0,0,8
10037,9028,50,1,2,1,3,1,-1.0,59901.0,0,N,,0,0,0,1,0,0,1
13808,9027,50,1,1,1,3,1,-1.0,19682.0,0,H,,0,0,0,0,0,0,0
13809,9027,50,2,2,1,3,1,-1.0,30977.0,0,H,,0,0,0,0,0,0,0
13097,9026,40,1,2,1,3,1,-1.0,12152.0,0,H,,0,0,0,0,0,0,0
13498,9025,40,1,1,1,3,1,-1.0,3634.0,0,H,,0,0,0,0,0,0,0
15079,9024,70,1,1,3,3,5,-1.0,-1.0,0,N,,0,1,0,1,0,0,17
12520,9023,40,1,1,1,3,1,-1.0,62313.0,0,M,work1,0,0,0,0,0,0,0
12521,9023,30,2,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
12522,9023,2,3,2,3,3,8,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
14498,9022,40,1,1,2,3,2,-1.0,32318.0,0,N,,1,0,0,0,0,0,32
14499,9022,2,2,1,3,1,8,18320.0,-1.0,0,N,,0,0,1,0,0,0,8
14500,9022,2,3,2,3,1,8,3844.0,-1.0,0,M,school2,0,0,0,0,0,0,0
14063,9021,50,1,1,2,3,2,-1.0,20222.0,0,H,,0,0,0,0,0,0,0
14081,9020,30,1,1,1,3,1,-1.0,3367.0,0,M,work1,0,1,0,3,0,0,17
12502,9019,30,1,1,1,3,1,-1.0,23183.0,0,M,work1,0,0,0,0,0,0,0
13047,9018,70,1,2,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
11222,9017,60,1,1,1,3,1,-1.0,8328.0,0,M,work1,0,1,0,0,0,0,16
11223,9017,60,2,2,1,3,1,-1.0,46393.0,0,H,,0,0,0,0,0,0,0
13601,9016,30,1,2,1,3,1,-1.0,33831.0,0,H,,0,0,0,0,0,0,0
13602,9016,40,2,1,1,3,1,-1.0,15889.0,0,M,work1,0,0,0,0,0,0,0
12625,9015,80,1,2,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
15048,9014,40,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,1,1,0,5
15049,9014,40,2,1,2,3,2,-1.0,47490.0,1,M,work1,0,0,0,0,0,0,0
15050,9014,17,3,1,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,1,0,4
15051,9014,14,4,9,3,3,4,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
12105,9013,50,1,2,1,3,1,-1.0,3200.0,0,N,,0,0,0,0,0,1,2
13989,9012,30,1,1,1,3,1,-1.0,30986.0,0,H,,0,0,0,0,0,0,0
12317,9011,30,1,1,1,3,1,-1.0,27206.0,0,M,work2,0,1,0,0,0,0,16
11063,9010,21,1,1,3,2,3,12926.0,-1.0,0,M,school1,1,0,0,0,0,0,32
11064,9010,21,2,2,3,2,3,12926.0,-1.0,0,M,school1,0,0,0,0,0,0,0
14944,9009,30,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,2,2
12405,9008,40,1,2,1,3,1,-1.0,35779.0,0,H,,0,0,0,0,0,0,0
12406,9008,2,2,1,3,1,8,14019.0,-1.0,0,M,school1,0,0,0,0,0,0,0
13987,9007,50,1,2,2,3,2,-1.0,1436.0,0,M,work1,0,0,0,1,0,0,1
13988,9007,40,2,1,1,3,1,-1.0,7951.0,0,M,work2,0,0,0,0,0,0,0
10891,9006,30,1,2,1,3,1,-1.0,15319.0,0,M,work1,0,0,0,0,0,0,0
14283,9005,21,1,2,2,3,2,-1.0,12413.0,0,M,work1,0,2,0,0,0,1,18
13262,9004,30,1,2,1,3,1,-1.0,2579.0,0,H,,0,0,0,0,0,0,0
13263,9004,40,2,1,2,3,2,-1.0,3990.0,0,H,,0,0,0,0,0,0,0
13264,9004,2,3,2,3,3,8,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12234,9003,40,1,1,3,3,4,-1.0,-1.0,0,N,,0,1,0,1,0,0,17
12235,9003,40,2,2,1,3,1,-1.0,22060.0,0,M,work1,0,0,0,0,0,0,0
11581,9002,30,1,1,1,3,1,-1.0,8051.0,0,H,,0,0,0,0,0,0,0
14868,9001,30,1,2,1,3,1,-1.0,20072.0,0,M,work1,0,0,0,1,0,0,1
14869,9001,30,2,1,2,2,3,23351.0,23351.0,0,M,school1,0,0,0,0,0,0,0
11476,9000,60,1,2,1,3,1,-1.0,12598.0,0,M,work1,0,0,0,0,0,0,0
13610,8999,50,1,2,1,3,1,-1.0,6697.0,0,M,work1,0,0,0,0,0,0,0
13611,8999,50,2,1,1,3,1,-1.0,46397.0,0,H,,0,0,0,0,0,0,0
13882,8998,50,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
13883,8998,21,2,2,1,3,1,-1.0,21006.0,0,M,work1,0,0,1,0,0,0,8
13884,8998,17,3,1,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
11033,8997,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,1,0,0,17
11034,8997,60,2,1,1,3,1,-1.0,26814.0,0,H,,0,0,0,0,0,0,0
10531,8996,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,1,1,0,0,9
14626,8995,85,1,1,2,3,2,-1.0,29889.0,0,H,,0,0,0,0,0,0,0
12249,8994,30,1,2,1,3,1,-1.0,17801.0,0,H,,0,0,0,0,0,0,0
12250,8994,40,2,1,1,3,1,-1.0,21003.0,0,M,work1,0,0,0,0,0,0,0
11911,8993,85,1,2,3,3,5,-1.0,-1.0,0,N,,0,1,1,0,1,0,28
14911,8992,30,1,1,1,3,1,-1.0,4147.0,0,H,,0,0,0,0,0,0,0
13329,8991,30,1,2,1,3,1,-1.0,15636.0,0,H,,0,0,0,0,0,0,0
14214,8990,30,1,2,1,3,1,-1.0,3186.0,1,H,,0,0,0,0,0,0,0
10041,8989,60,1,1,1,3,1,-1.0,35782.0,0,M,work1,0,0,0,0,0,0,0
12736,8988,40,1,2,1,3,1,-1.0,62568.0,0,M,work1,0,0,0,0,0,0,0
12737,8988,8,2,2,3,1,7,55929.0,-1.0,0,M,school1,0,0,0,0,0,0,0
12735,8988,40,3,1,1,3,1,-1.0,58100.0,0,M,work1,0,0,0,0,0,0,0
12738,8988,2,4,1,3,1,8,60899.0,-1.0,0,N,,0,0,0,1,0,0,1
12949,8987,30,1,2,2,3,2,-1.0,9324.0,0,N,,0,0,0,2,0,0,1
12950,8987,40,2,1,2,3,2,-1.0,21482.0,0,H,,0,0,0,0,0,0,0
12106,8986,30,1,2,1,3,1,-1.0,12598.0,0,H,,0,0,0,0,0,0,0
10279,8985,30,1,1,1,3,1,-1.0,34273.0,0,H,,0,0,0,0,0,0,0
10280,8985,30,2,2,1,3,1,-1.0,15448.0,0,H,,0,0,0,0,0,0,0
13093,8984,30,1,1,1,3,1,-1.0,19361.0,0,M,work1,0,0,0,0,0,0,0
13094,8984,30,2,2,2,3,2,-1.0,16748.0,0,M,work1,0,0,0,0,0,0,0
14274,8983,50,1,2,1,3,1,-1.0,30959.0,0,M,work1,0,0,0,1,0,0,1
14275,8983,60,2,9,1,3,1,-1.0,17738.0,0,M,work1,0,0,0,2,0,0,1
13387,8982,8,1,2,3,1,7,6752.0,-1.0,0,M,school1,0,0,0,0,0,0,0
13388,8982,2,2,1,3,1,8,6752.0,-1.0,0,M,school1,0,0,0,0,0,0,0
10795,8981,40,1,1,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
10796,8981,40,2,2,1,3,1,-1.0,34522.0,0,H,,0,0,0,0,0,0,0
10797,8981,8,3,9,3,1,7,11070.0,-1.0,0,H,,0,0,0,0,0,0,0
10798,8981,8,4,9,3,1,7,11070.0,-1.0,0,H,,0,0,0,0,0,0,0
11376,8980,30,1,1,1,3,1,-1.0,2836.0,0,H,,0,0,0,0,0,0,0
11377,8980,30,2,1,2,3,2,-1.0,22369.0,0,N,,0,0,0,0,1,1,6
12198,8979,50,1,1,1,3,1,-1.0,15452.0,0,N,,0,1,0,0,0,0,16
12199,8979,8,2,2,3,1,7,4369.0,-1.0,0,M,school1,0,0,0,0,0,0,0
14532,8978,30,1,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12911,8977,50,1,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12651,8976,50,1,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
11464,8975,60,1,2,1,3,1,-1.0,20629.0,0,N,,0,2,0,2,0,0,17
13649,8974,50,1,1,1,3,1,-1.0,55128.0,0,M,work1,0,0,0,0,0,0,0
12389,8973,40,1,1,1,3,1,-1.0,26163.0,0,M,work1,1,0,0,0,0,0,32
12390,8973,40,2,2,1,3,1,-1.0,19073.0,0,M,work1,0,0,0,0,0,0,0
12391,8973,8,3,1,3,1,7,19886.0,-1.0,0,M,school1,0,0,0,0,0,0,0
11472,8972,30,1,2,1,2,2,16758.0,12926.0,0,H,,0,0,0,0,0,0,0
10753,8971,30,1,1,1,3,1,-1.0,1029.0,0,H,,0,0,0,0,0,0,0
13986,8970,30,1,2,1,3,1,-1.0,33088.0,0,M,work1,0,0,0,1,1,0,5
11186,8969,50,1,1,3,3,4,-1.0,-1.0,0,N,,0,1,1,0,0,0,24
11187,8969,50,2,2,3,2,3,31230.0,-1.0,0,H,,0,0,0,0,0,0,0
11206,8968,40,1,1,1,3,1,-1.0,3186.0,0,H,,0,0,0,0,0,0,0
11207,8968,50,2,1,1,3,1,-1.0,21300.0,0,M,work1,0,0,0,0,0,0,0
12463,8967,60,1,2,1,3,1,-1.0,30605.0,0,M,work2,0,0,0,0,0,0,0
12464,8967,50,2,1,1,3,1,-1.0,23881.0,0,M,work1,0,0,0,0,0,0,0
14553,8966,30,1,2,1,3,1,-1.0,31229.0,0,M,work1,0,0,0,0,0,0,0
13823,8965,30,1,1,1,3,1,-1.0,34504.0,0,H,,0,0,0,0,0,0,0
13824,8965,30,2,2,1,3,1,-1.0,15410.0,0,H,,0,0,0,0,0,0,0
10737,8964,30,1,2,1,3,1,-1.0,2878.0,0,H,,0,0,0,0,0,0,0
10738,8964,30,2,1,1,3,1,-1.0,10242.0,0,H,,0,0,0,0,0,0,0
11389,8963,21,1,1,1,3,1,-1.0,874.0,0,H,,0,0,0,0,0,0,0
11390,8963,30,2,2,2,3,2,-1.0,9497.0,0,M,work1,0,0,0,0,0,0,0
13354,8962,40,1,1,1,3,1,-1.0,23258.0,0,M,work1,0,0,0,0,0,0,0
13355,8962,40,2,2,2,3,2,-1.0,29417.0,0,N,,1,1,0,0,1,0,52
13356,8962,2,3,2,3,1,8,1482.0,-1.0,0,M,school1,0,0,0,0,1,0,4
14511,8961,30,1,1,2,3,2,-1.0,19540.0,0,H,,0,0,0,0,0,0,0
14612,8960,40,1,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
14613,8960,2,2,1,3,3,8,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
14108,8959,40,1,1,1,3,1,-1.0,12656.0,0,H,,0,0,0,0,0,0,0
